IRL, T, +-, T-S, +-, K, +-, D/K, +-
180, 1.180E-17, 0.4%, 1.102E-17, 0.4%, 1.169E-17, 1.4%, 1.010E+00, 1.5%
181, 3.577E-19, 0.3%, 3.324E-19, 0.3%, 8.325E-19, 0.3%, 4.296E-01, 0.4%
182, 5.451E-19, 0.2%, 5.073E-19, 0.2%, 8.369E-19, 0.3%, 6.513E-01, 0.4%
183, 6.474E-19, 0.2%, 6.028E-19, 0.2%, 8.304E-19, 0.3%, 7.796E-01, 0.3%
184, 7.109E-19, 0.2%, 6.622E-19, 0.2%, 8.341E-19, 0.3%, 8.524E-01, 0.3%
185, 7.542E-19, 0.2%, 7.025E-19, 0.2%, 8.303E-19, 0.3%, 9.083E-01, 0.3%
186, 7.801E-19, 0.2%, 7.267E-19, 0.2%, 8.285E-19, 0.3%, 9.416E-01, 0.3%
187, 7.965E-19, 0.2%, 7.420E-19, 0.2%, 8.275E-19, 0.3%, 9.626E-01, 0.3%
188, 8.083E-19, 0.2%, 7.530E-19, 0.2%, 8.236E-19, 0.2%, 9.814E-01, 0.3%
189, 8.142E-19, 0.2%, 7.585E-19, 0.2%, 8.230E-19, 0.3%, 9.893E-01, 0.3%
190, 8.177E-19, 0.2%, 7.617E-19, 0.2%, 8.227E-19, 0.3%, 9.939E-01, 0.3%
191, 8.203E-19, 0.2%, 7.641E-19, 0.2%, 8.206E-19, 0.3%, 9.997E-01, 0.3%
192, 8.189E-19, 0.2%, 7.628E-19, 0.2%, 8.186E-19, 0.3%, 1.000E+00, 0.3%
193, 8.198E-19, 0.2%, 7.636E-19, 0.2%, 8.183E-19, 0.3%, 1.002E+00, 0.3%
194, 8.165E-19, 0.2%, 7.605E-19, 0.2%, 8.169E-19, 0.3%, 9.995E-01, 0.3%
195, 8.152E-19, 0.2%, 7.593E-19, 0.2%, 8.093E-19, 0.3%, 1.007E+00, 0.3%
196, 8.117E-19, 0.2%, 7.560E-19, 0.2%, 8.095E-19, 0.3%, 1.003E+00, 0.3%
197, 8.084E-19, 0.2%, 7.529E-19, 0.2%, 8.063E-19, 0.3%, 1.003E+00, 0.3%
198, 8.068E-19, 0.2%, 7.514E-19, 0.2%, 8.063E-19, 0.3%, 1.001E+00, 0.3%
199, 8.052E-19, 0.2%, 7.498E-19, 0.2%, 8.019E-19, 0.3%, 1.004E+00, 0.3%
200, 8.017E-19, 0.2%, 7.465E-19, 0.2%, 8.009E-19, 0.3%, 1.001E+00, 0.3%
201, 8.022E-19, 0.2%, 7.470E-19, 0.2%, 8.011E-19, 0.5%, 1.001E+00, 0.5%
202, 8.011E-19, 0.2%, 7.460E-19, 0.2%, 7.946E-19, 0.4%, 1.008E+00, 0.5%
203, 7.991E-19, 0.2%, 7.441E-19, 0.2%, 7.999E-19, 0.4%, 9.990E-01, 0.5%
204, 8.007E-19, 0.2%, 7.456E-19, 0.2%, 7.973E-19, 0.4%, 1.004E+00, 0.5%
205, 8.004E-19, 0.2%, 7.453E-19, 0.2%, 7.877E-19, 0.4%, 1.016E+00, 0.4%
206, 7.999E-19, 0.2%, 7.448E-19, 0.2%, 7.942E-19, 0.4%, 1.007E+00, 0.5%
207, 7.975E-19, 0.2%, 7.426E-19, 0.2%, 8.035E-19, 0.5%, 9.924E-01, 0.6%
208, 7.969E-19, 0.2%, 7.420E-19, 0.2%, 7.935E-19, 0.5%, 1.004E+00, 0.5%
209, 7.954E-19, 0.2%, 7.407E-19, 0.2%, 7.940E-19, 0.4%, 1.002E+00, 0.5%
210, 7.967E-19, 0.2%, 7.419E-19, 0.2%, 7.906E-19, 0.4%, 1.008E+00, 0.5%
211, 7.944E-19, 0.2%, 7.397E-19, 0.2%, 7.858E-19, 0.4%, 1.011E+00, 0.4%
212, 7.945E-19, 0.2%, 7.398E-19, 0.2%, 7.862E-19, 0.4%, 1.011E+00, 0.4%
213, 7.931E-19, 0.2%, 7.384E-19, 0.2%, 7.890E-19, 0.4%, 1.005E+00, 0.5%
214, 7.919E-19, 0.2%, 7.373E-19, 0.2%, 7.903E-19, 0.5%, 1.002E+00, 0.5%
215, 7.911E-19, 0.2%, 7.366E-19, 0.2%, 7.826E-19, 0.4%, 1.011E+00, 0.4%
216, 7.911E-19, 0.2%, 7.365E-19, 0.2%, 7.945E-19, 0.5%, 9.957E-01, 0.5%
217, 7.926E-19, 0.2%, 7.380E-19, 0.2%, 7.856E-19, 0.4%, 1.009E+00, 0.5%
218, 7.934E-19, 0.2%, 7.388E-19, 0.2%, 7.868E-19, 0.5%, 1.008E+00, 0.5%
219, 7.977E-19, 0.2%, 7.427E-19, 0.2%, 7.898E-19, 0.5%, 1.010E+00, 0.5%
220, 8.115E-19, 0.2%, 7.555E-19, 0.2%, 7.783E-19, 0.4%, 1.043E+00, 0.4%
221, 7.746E-19, 0.1%, 7.179E-19, 0.1%, 7.645E-19, 0.2%, 1.013E+00, 0.2%
222, 7.658E-19, 0.1%, 7.097E-19, 0.1%, 7.632E-19, 0.2%, 1.003E+00, 0.2%
223, 7.589E-19, 0.1%, 7.032E-19, 0.1%, 7.573E-19, 0.2%, 1.002E+00, 0.2%
224, 7.533E-19, 0.1%, 6.980E-19, 0.1%, 7.547E-19, 0.2%, 9.982E-01, 0.3%
225, 7.493E-19, 0.1%, 6.943E-19, 0.1%, 7.474E-19, 0.2%, 1.003E+00, 0.2%
226, 7.440E-19, 0.1%, 6.893E-19, 0.1%, 7.419E-19, 0.2%, 1.003E+00, 0.2%
227, 7.388E-19, 0.1%, 6.845E-19, 0.1%, 7.406E-19, 0.2%, 9.976E-01, 0.3%
228, 7.351E-19, 0.1%, 6.810E-19, 0.1%, 7.381E-19, 0.2%, 9.959E-01, 0.3%
229, 7.316E-19, 0.1%, 6.778E-19, 0.1%, 7.301E-19, 0.2%, 1.002E+00, 0.2%
230, 7.278E-19, 0.2%, 6.742E-19, 0.2%, 7.266E-19, 0.2%, 1.002E+00, 0.3%
231, 7.219E-19, 0.1%, 6.688E-19, 0.1%, 7.203E-19, 0.2%, 1.002E+00, 0.2%
232, 7.173E-19, 0.2%, 6.645E-19, 0.2%, 7.176E-19, 0.2%, 9.997E-01, 0.3%
233, 7.109E-19, 0.1%, 6.585E-19, 0.1%, 7.081E-19, 0.2%, 1.004E+00, 0.2%
