IRL, Te-, +-, E1, +-, Tph, +-, E2, +-, Te+, +-, E3, +-, Pe-, +-, E4, +-, Pph, +-, E5, +-, Pe+, +-, E6, +-
236, 1.419E-10, 1.3%, 9.696E-01, 0.8%, 9.324E-09, 0.4%, 1.365E+00, 0.3%, 2.141E-12, 9.7%, 1.076E+00, 4.7%, 1.345E-10, 1.3%, 1.014E+00, 0.8%, 9.228E-09, 0.4%, 1.376E+00, 0.3%, 2.141E-12, 9.7%, 1.076E+00, 4.7%
237, 1.415E-10, 1.3%, 9.677E-01, 0.8%, 9.332E-09, 0.4%, 1.361E+00, 0.3%, 2.087E-12, 8.7%, 1.037E+00, 6.2%, 1.338E-10, 1.3%, 1.013E+00, 0.8%, 9.235E-09, 0.4%, 1.372E+00, 0.3%, 2.087E-12, 8.7%, 1.037E+00, 6.2%
238, 1.394E-10, 1.2%, 9.717E-01, 0.8%, 9.340E-09, 0.4%, 1.357E+00, 0.3%, 2.159E-12, 10.1%, 1.042E+00, 5.9%, 1.317E-10, 1.2%, 1.018E+00, 0.8%, 9.242E-09, 0.4%, 1.368E+00, 0.3%, 2.159E-12, 10.1%, 1.042E+00, 5.9%
239, 1.388E-10, 1.2%, 9.769E-01, 0.7%, 9.356E-09, 0.4%, 1.351E+00, 0.3%, 1.947E-12, 8.2%, 1.107E+00, 5.0%, 1.310E-10, 1.2%, 1.025E+00, 0.8%, 9.258E-09, 0.4%, 1.362E+00, 0.3%, 1.947E-12, 8.2%, 1.107E+00, 5.0%
240, 1.393E-10, 1.3%, 9.786E-01, 0.7%, 9.379E-09, 0.4%, 1.345E+00, 0.3%, 2.139E-12, 12.9%, 1.127E+00, 6.6%, 1.317E-10, 1.3%, 1.026E+00, 0.7%, 9.275E-09, 0.4%, 1.356E+00, 0.3%, 2.139E-12, 12.9%, 1.127E+00, 6.6%
241, 1.373E-10, 1.2%, 9.816E-01, 0.7%, 9.433E-09, 0.4%, 1.335E+00, 0.3%, 1.974E-12, 8.1%, 1.074E+00, 4.8%, 1.299E-10, 1.2%, 1.028E+00, 0.7%, 9.326E-09, 0.4%, 1.347E+00, 0.3%, 1.974E-12, 8.1%, 1.074E+00, 4.8%
242, 1.347E-10, 1.1%, 9.882E-01, 0.7%, 9.476E-09, 0.4%, 1.327E+00, 0.3%, 1.886E-12, 7.4%, 1.093E+00, 4.3%, 1.277E-10, 1.1%, 1.034E+00, 0.7%, 9.369E-09, 0.4%, 1.339E+00, 0.3%, 1.886E-12, 7.4%, 1.093E+00, 4.3%
243, 1.363E-10, 1.1%, 9.842E-01, 0.7%, 9.509E-09, 0.4%, 1.319E+00, 0.3%, 1.758E-12, 5.0%, 1.136E+00, 3.5%, 1.287E-10, 1.1%, 1.033E+00, 0.7%, 9.402E-09, 0.4%, 1.331E+00, 0.3%, 1.758E-12, 5.0%, 1.136E+00, 3.5%
244, 1.376E-10, 1.2%, 9.836E-01, 0.7%, 9.530E-09, 0.4%, 1.314E+00, 0.3%, 1.923E-12, 8.4%, 1.110E+00, 3.8%, 1.301E-10, 1.2%, 1.031E+00, 0.7%, 9.422E-09, 0.4%, 1.325E+00, 0.3%, 1.923E-12, 8.4%, 1.110E+00, 3.8%
245, 1.371E-10, 1.2%, 9.805E-01, 0.7%, 9.545E-09, 0.4%, 1.309E+00, 0.3%, 2.056E-12, 11.1%, 1.050E+00, 4.2%, 1.295E-10, 1.2%, 1.029E+00, 0.7%, 9.436E-09, 0.4%, 1.320E+00, 0.3%, 2.056E-12, 11.1%, 1.050E+00, 4.2%
246, 1.368E-10, 1.1%, 9.820E-01, 0.7%, 9.551E-09, 0.4%, 1.303E+00, 0.3%, 1.920E-12, 6.4%, 1.067E+00, 3.4%, 1.292E-10, 1.1%, 1.029E+00, 0.7%, 9.441E-09, 0.4%, 1.314E+00, 0.3%, 1.920E-12, 6.4%, 1.067E+00, 3.4%
247, 1.374E-10, 1.1%, 9.760E-01, 0.7%, 9.574E-09, 0.4%, 1.293E+00, 0.3%, 1.967E-12, 6.6%, 1.025E+00, 3.2%, 1.297E-10, 1.1%, 1.024E+00, 0.7%, 9.459E-09, 0.4%, 1.305E+00, 0.3%, 1.967E-12, 6.6%, 1.025E+00, 3.2%
248, 1.363E-10, 1.1%, 9.761E-01, 0.6%, 9.585E-09, 0.4%, 1.285E+00, 0.3%, 1.885E-12, 6.9%, 1.068E+00, 3.9%, 1.285E-10, 1.1%, 1.025E+00, 0.7%, 9.469E-09, 0.4%, 1.297E+00, 0.3%, 1.885E-12, 6.9%, 1.068E+00, 3.9%
249, 1.335E-10, 1.1%, 9.788E-01, 0.6%, 9.578E-09, 0.4%, 1.279E+00, 0.3%, 1.974E-12, 8.1%, 1.170E+00, 4.8%, 1.262E-10, 1.1%, 1.026E+00, 0.7%, 9.462E-09, 0.4%, 1.291E+00, 0.3%, 1.974E-12, 8.1%, 1.170E+00, 4.8%
250, 1.332E-10, 1.1%, 9.823E-01, 0.6%, 9.575E-09, 0.4%, 1.273E+00, 0.3%, 2.106E-12, 8.7%, 1.098E+00, 4.6%, 1.256E-10, 1.1%, 1.031E+00, 0.7%, 9.458E-09, 0.4%, 1.285E+00, 0.3%, 2.106E-12, 8.7%, 1.098E+00, 4.6%
251, 1.334E-10, 1.1%, 9.811E-01, 0.6%, 9.567E-09, 0.4%, 1.267E+00, 0.3%, 2.092E-12, 8.3%, 1.106E+00, 5.3%, 1.258E-10, 1.1%, 1.030E+00, 0.6%, 9.450E-09, 0.4%, 1.278E+00, 0.3%, 2.092E-12, 8.3%, 1.106E+00, 5.3%
252, 1.337E-10, 1.1%, 9.788E-01, 0.7%, 9.557E-09, 0.4%, 1.260E+00, 0.3%, 2.091E-12, 9.2%, 1.151E+00, 5.1%, 1.263E-10, 1.1%, 1.027E+00, 0.7%, 9.438E-09, 0.4%, 1.272E+00, 0.3%, 2.091E-12, 9.2%, 1.151E+00, 5.1%
253, 1.319E-10, 1.1%, 9.821E-01, 0.7%, 9.546E-09, 0.4%, 1.255E+00, 0.3%, 2.198E-12, 10.5%, 1.079E+00, 4.3%, 1.247E-10, 1.1%, 1.030E+00, 0.7%, 9.424E-09, 0.4%, 1.267E+00, 0.3%, 2.198E-12, 10.5%, 1.079E+00, 4.3%
254, 1.301E-10, 1.1%, 9.904E-01, 0.7%, 9.526E-09, 0.4%, 1.250E+00, 0.3%, 2.038E-12, 7.8%, 1.142E+00, 4.2%, 1.230E-10, 1.1%, 1.039E+00, 0.7%, 9.406E-09, 0.4%, 1.262E+00, 0.3%, 2.038E-12, 7.8%, 1.142E+00, 4.2%
255, 1.318E-10, 1.2%, 9.788E-01, 0.6%, 9.509E-09, 0.4%, 1.245E+00, 0.3%, 2.186E-12, 8.8%, 1.070E+00, 4.6%, 1.245E-10, 1.2%, 1.027E+00, 0.6%, 9.387E-09, 0.4%, 1.257E+00, 0.3%, 2.186E-12, 8.8%, 1.070E+00, 4.6%
256, 1.301E-10, 1.1%, 9.771E-01, 0.7%, 9.488E-09, 0.4%, 1.240E+00, 0.3%, 2.097E-12, 10.0%, 1.168E+00, 7.3%, 1.228E-10, 1.1%, 1.026E+00, 0.7%, 9.366E-09, 0.4%, 1.252E+00, 0.3%, 2.097E-12, 10.0%, 1.168E+00, 7.3%
257, 1.286E-10, 1.1%, 9.767E-01, 0.7%, 9.465E-09, 0.4%, 1.235E+00, 0.3%, 1.786E-12, 7.6%, 1.143E+00, 4.9%, 1.215E-10, 1.1%, 1.024E+00, 0.7%, 9.343E-09, 0.4%, 1.247E+00, 0.3%, 1.786E-12, 7.6%, 1.143E+00, 4.9%
258, 1.278E-10, 1.1%, 9.783E-01, 0.7%, 9.426E-09, 0.4%, 1.233E+00, 0.3%, 1.761E-12, 7.6%, 1.076E+00, 3.7%, 1.206E-10, 1.1%, 1.026E+00, 0.7%, 9.304E-09, 0.4%, 1.244E+00, 0.3%, 1.761E-12, 7.6%, 1.076E+00, 3.7%
259, 1.264E-10, 1.1%, 9.756E-01, 0.7%, 9.408E-09, 0.4%, 1.228E+00, 0.3%, 1.652E-12, 6.4%, 1.066E+00, 3.5%, 1.192E-10, 1.1%, 1.024E+00, 0.7%, 9.284E-09, 0.4%, 1.240E+00, 0.3%, 1.652E-12, 6.4%, 1.066E+00, 3.5%
260, 1.261E-10, 1.2%, 9.886E-01, 0.7%, 9.399E-09, 0.4%, 1.222E+00, 0.3%, 1.685E-12, 5.7%, 1.095E+00, 4.9%, 1.192E-10, 1.2%, 1.037E+00, 0.7%, 9.272E-09, 0.4%, 1.234E+00, 0.3%, 1.685E-12, 5.7%, 1.095E+00, 4.9%
261, 1.257E-10, 1.1%, 9.854E-01, 0.7%, 9.357E-09, 0.4%, 1.220E+00, 0.3%, 1.553E-12, 4.6%, 1.123E+00, 4.1%, 1.189E-10, 1.1%, 1.033E+00, 0.7%, 9.229E-09, 0.4%, 1.232E+00, 0.3%, 1.553E-12, 4.6%, 1.123E+00, 4.1%
262, 1.256E-10, 1.1%, 9.937E-01, 0.7%, 9.319E-09, 0.4%, 1.216E+00, 0.3%, 1.652E-12, 7.8%, 1.118E+00, 3.1%, 1.185E-10, 1.1%, 1.043E+00, 0.7%, 9.192E-09, 0.4%, 1.229E+00, 0.3%, 1.652E-12, 7.8%, 1.118E+00, 3.1%
263, 1.261E-10, 1.2%, 9.781E-01, 0.7%, 9.276E-09, 0.4%, 1.213E+00, 0.3%, 1.736E-12, 6.2%, 1.108E+00, 3.5%, 1.190E-10, 1.2%, 1.027E+00, 0.7%, 9.149E-09, 0.4%, 1.226E+00, 0.3%, 1.736E-12, 6.2%, 1.108E+00, 3.5%
264, 1.254E-10, 1.2%, 9.773E-01, 0.7%, 9.240E-09, 0.4%, 1.210E+00, 0.3%, 1.885E-12, 7.5%, 1.059E+00, 4.1%, 1.185E-10, 1.2%, 1.025E+00, 0.7%, 9.112E-09, 0.4%, 1.223E+00, 0.3%, 1.885E-12, 7.5%, 1.059E+00, 4.1%
265, 1.233E-10, 1.2%, 9.801E-01, 0.7%, 9.205E-09, 0.4%, 1.208E+00, 0.3%, 1.801E-12, 8.2%, 1.116E+00, 4.1%, 1.163E-10, 1.2%, 1.029E+00, 0.7%, 9.078E-09, 0.4%, 1.220E+00, 0.3%, 1.801E-12, 8.2%, 1.116E+00, 4.1%
266, 1.226E-10, 1.2%, 9.835E-01, 0.7%, 9.170E-09, 0.4%, 1.205E+00, 0.3%, 1.759E-12, 8.6%, 1.056E+00, 4.5%, 1.157E-10, 1.2%, 1.032E+00, 0.7%, 9.042E-09, 0.4%, 1.217E+00, 0.3%, 1.759E-12, 8.6%, 1.056E+00, 4.5%
267, 1.218E-10, 1.2%, 9.755E-01, 0.7%, 9.125E-09, 0.4%, 1.202E+00, 0.3%, 1.771E-12, 6.7%, 1.108E+00, 4.6%, 1.148E-10, 1.2%, 1.025E+00, 0.7%, 8.995E-09, 0.4%, 1.215E+00, 0.3%, 1.771E-12, 6.7%, 1.108E+00, 4.6%
268, 1.215E-10, 1.2%, 9.743E-01, 0.7%, 9.080E-09, 0.4%, 1.200E+00, 0.3%, 1.723E-12, 6.8%, 1.217E+00, 4.7%, 1.147E-10, 1.2%, 1.022E+00, 0.7%, 8.950E-09, 0.4%, 1.213E+00, 0.3%, 1.723E-12, 6.8%, 1.217E+00, 4.7%
269, 1.190E-10, 1.1%, 9.697E-01, 0.7%, 9.040E-09, 0.4%, 1.198E+00, 0.3%, 2.087E-12, 10.4%, 1.107E+00, 3.9%, 1.124E-10, 1.1%, 1.017E+00, 0.7%, 8.912E-09, 0.4%, 1.211E+00, 0.3%, 2.087E-12, 10.4%, 1.107E+00, 3.9%
270, 1.163E-10, 1.1%, 9.808E-01, 0.7%, 9.007E-09, 0.4%, 1.195E+00, 0.3%, 2.042E-12, 9.0%, 1.075E+00, 5.0%, 1.098E-10, 1.1%, 1.029E+00, 0.7%, 8.879E-09, 0.4%, 1.208E+00, 0.3%, 2.042E-12, 9.0%, 1.075E+00, 5.0%
271, 1.158E-10, 1.1%, 9.839E-01, 0.7%, 8.964E-09, 0.4%, 1.192E+00, 0.3%, 1.891E-12, 7.6%, 1.091E+00, 4.6%, 1.093E-10, 1.1%, 1.033E+00, 0.7%, 8.834E-09, 0.4%, 1.205E+00, 0.3%, 1.891E-12, 7.6%, 1.091E+00, 4.6%
272, 1.165E-10, 1.1%, 9.864E-01, 0.7%, 8.905E-09, 0.4%, 1.190E+00, 0.3%, 1.791E-12, 7.2%, 1.050E+00, 4.6%, 1.099E-10, 1.1%, 1.036E+00, 0.7%, 8.772E-09, 0.4%, 1.204E+00, 0.3%, 1.790E-12, 7.2%, 1.050E+00, 4.6%
273, 1.160E-10, 1.2%, 9.832E-01, 0.8%, 8.852E-09, 0.4%, 1.187E+00, 0.3%, 1.665E-12, 7.3%, 1.097E+00, 3.9%, 1.096E-10, 1.1%, 1.031E+00, 0.8%, 8.721E-09, 0.4%, 1.200E+00, 0.3%, 1.665E-12, 7.3%, 1.097E+00, 3.9%
274, 1.147E-10, 1.1%, 9.771E-01, 0.8%, 8.804E-09, 0.4%, 1.184E+00, 0.3%, 1.640E-12, 7.6%, 1.083E+00, 4.0%, 1.085E-10, 1.1%, 1.024E+00, 0.8%, 8.673E-09, 0.4%, 1.197E+00, 0.3%, 1.640E-12, 7.6%, 1.083E+00, 4.0%
275, 1.145E-10, 1.2%, 9.824E-01, 0.8%, 8.738E-09, 0.4%, 1.182E+00, 0.3%, 1.672E-12, 8.1%, 9.921E-01, 2.9%, 1.080E-10, 1.2%, 1.031E+00, 0.8%, 8.606E-09, 0.4%, 1.196E+00, 0.3%, 1.672E-12, 8.1%, 9.921E-01, 2.9%
276, 1.130E-10, 1.2%, 9.864E-01, 0.8%, 8.686E-09, 0.4%, 1.180E+00, 0.3%, 1.471E-12, 6.1%, 1.013E+00, 3.3%, 1.067E-10, 1.2%, 1.034E+00, 0.8%, 8.555E-09, 0.4%, 1.193E+00, 0.3%, 1.471E-12, 6.1%, 1.013E+00, 3.3%
277, 1.122E-10, 1.2%, 9.855E-01, 0.7%, 8.622E-09, 0.4%, 1.178E+00, 0.3%, 1.435E-12, 5.5%, 1.106E+00, 2.7%, 1.059E-10, 1.2%, 1.034E+00, 0.7%, 8.492E-09, 0.4%, 1.192E+00, 0.3%, 1.435E-12, 5.5%, 1.106E+00, 2.7%
278, 1.113E-10, 1.2%, 9.789E-01, 0.7%, 8.563E-09, 0.4%, 1.177E+00, 0.3%, 1.674E-12, 8.8%, 1.110E+00, 3.9%, 1.049E-10, 1.2%, 1.028E+00, 0.7%, 8.433E-09, 0.4%, 1.190E+00, 0.3%, 1.674E-12, 8.8%, 1.110E+00, 3.9%
279, 1.094E-10, 1.2%, 9.720E-01, 0.7%, 8.506E-09, 0.4%, 1.175E+00, 0.3%, 1.622E-12, 8.1%, 1.067E+00, 4.8%, 1.032E-10, 1.2%, 1.020E+00, 0.7%, 8.378E-09, 0.4%, 1.188E+00, 0.3%, 1.622E-12, 8.1%, 1.067E+00, 4.8%
280, 1.072E-10, 1.1%, 9.730E-01, 0.7%, 8.449E-09, 0.4%, 1.173E+00, 0.3%, 1.468E-12, 6.8%, 1.116E+00, 4.7%, 1.012E-10, 1.1%, 1.021E+00, 0.7%, 8.322E-09, 0.4%, 1.187E+00, 0.3%, 1.468E-12, 6.8%, 1.116E+00, 4.7%
281, 1.071E-10, 1.1%, 9.763E-01, 0.7%, 8.392E-09, 0.4%, 1.172E+00, 0.3%, 1.582E-12, 7.9%, 1.108E+00, 4.3%, 1.010E-10, 1.1%, 1.025E+00, 0.7%, 8.264E-09, 0.4%, 1.185E+00, 0.3%, 1.582E-12, 7.9%, 1.108E+00, 4.3%
282, 1.060E-10, 1.1%, 9.825E-01, 0.7%, 8.332E-09, 0.4%, 1.171E+00, 0.3%, 1.598E-12, 8.0%, 1.036E+00, 4.2%, 1.001E-10, 1.1%, 1.031E+00, 0.7%, 8.204E-09, 0.4%, 1.184E+00, 0.3%, 1.598E-12, 8.0%, 1.036E+00, 4.2%
283, 1.061E-10, 1.1%, 9.878E-01, 0.8%, 8.262E-09, 0.4%, 1.170E+00, 0.3%, 1.516E-12, 8.4%, 1.120E+00, 3.1%, 1.003E-10, 1.2%, 1.035E+00, 0.8%, 8.133E-09, 0.4%, 1.184E+00, 0.3%, 1.516E-12, 8.4%, 1.120E+00, 3.1%
284, 1.058E-10, 1.2%, 9.820E-01, 0.8%, 8.206E-09, 0.4%, 1.168E+00, 0.3%, 1.630E-12, 9.0%, 1.034E+00, 3.6%, 9.992E-11, 1.2%, 1.030E+00, 0.8%, 8.078E-09, 0.4%, 1.182E+00, 0.3%, 1.629E-12, 9.0%, 1.034E+00, 3.6%
285, 1.042E-10, 1.2%, 9.749E-01, 0.8%, 8.138E-09, 0.4%, 1.168E+00, 0.3%, 1.559E-12, 8.0%, 1.018E+00, 2.9%, 9.828E-11, 1.2%, 1.023E+00, 0.8%, 8.012E-09, 0.4%, 1.182E+00, 0.3%, 1.559E-12, 8.0%, 1.018E+00, 2.9%
286, 1.025E-10, 1.1%, 9.765E-01, 0.7%, 8.066E-09, 0.4%, 1.169E+00, 0.3%, 1.471E-12, 8.2%, 1.024E+00, 3.5%, 9.692E-11, 1.1%, 1.024E+00, 0.8%, 7.941E-09, 0.4%, 1.182E+00, 0.3%, 1.471E-12, 8.2%, 1.024E+00, 3.5%
287, 1.013E-10, 1.1%, 9.779E-01, 0.7%, 8.013E-09, 0.4%, 1.167E+00, 0.3%, 1.269E-12, 5.3%, 1.094E+00, 3.2%, 9.578E-11, 1.1%, 1.025E+00, 0.7%, 7.887E-09, 0.4%, 1.181E+00, 0.3%, 1.269E-12, 5.3%, 1.094E+00, 3.2%
288, 1.013E-10, 1.2%, 9.751E-01, 0.7%, 7.945E-09, 0.4%, 1.167E+00, 0.3%, 1.414E-12, 8.4%, 1.068E+00, 2.8%, 9.558E-11, 1.2%, 1.023E+00, 0.7%, 7.820E-09, 0.4%, 1.181E+00, 0.3%, 1.414E-12, 8.4%, 1.068E+00, 2.8%
289, 1.003E-10, 1.2%, 9.711E-01, 0.6%, 7.877E-09, 0.4%, 1.166E+00, 0.3%, 1.276E-12, 5.6%, 1.063E+00, 2.2%, 9.481E-11, 1.2%, 1.018E+00, 0.6%, 7.754E-09, 0.4%, 1.180E+00, 0.3%, 1.276E-12, 5.6%, 1.063E+00, 2.2%
290, 9.987E-11, 1.2%, 9.602E-01, 0.6%, 7.811E-09, 0.4%, 1.166E+00, 0.3%, 1.377E-12, 7.0%, 1.104E+00, 4.7%, 9.404E-11, 1.2%, 1.009E+00, 0.6%, 7.686E-09, 0.4%, 1.180E+00, 0.3%, 1.377E-12, 7.0%, 1.104E+00, 4.7%
291, 9.697E-11, 1.1%, 9.696E-01, 0.6%, 7.734E-09, 0.4%, 1.167E+00, 0.3%, 1.322E-12, 6.8%, 1.098E+00, 4.1%, 9.152E-11, 1.1%, 1.017E+00, 0.6%, 7.610E-09, 0.4%, 1.181E+00, 0.3%, 1.322E-12, 6.8%, 1.098E+00, 4.1%
292, 9.737E-11, 1.2%, 9.712E-01, 0.7%, 7.673E-09, 0.4%, 1.166E+00, 0.3%, 1.518E-12, 11.0%, 1.075E+00, 3.1%, 9.178E-11, 1.2%, 1.020E+00, 0.7%, 7.548E-09, 0.4%, 1.180E+00, 0.3%, 1.518E-12, 11.0%, 1.075E+00, 3.1%
293, 9.525E-11, 1.1%, 9.777E-01, 0.7%, 7.611E-09, 0.4%, 1.166E+00, 0.3%, 1.339E-12, 7.6%, 1.064E+00, 4.6%, 8.995E-11, 1.1%, 1.025E+00, 0.7%, 7.487E-09, 0.4%, 1.180E+00, 0.3%, 1.339E-12, 7.6%, 1.064E+00, 4.6%
294, 9.630E-11, 1.2%, 9.752E-01, 0.7%, 7.552E-09, 0.4%, 1.165E+00, 0.3%, 1.321E-12, 9.2%, 1.058E+00, 4.3%, 9.066E-11, 1.1%, 1.024E+00, 0.7%, 7.427E-09, 0.4%, 1.179E+00, 0.3%, 1.321E-12, 9.2%, 1.058E+00, 4.3%
295, 9.609E-11, 1.2%, 9.755E-01, 0.7%, 7.492E-09, 0.4%, 1.164E+00, 0.3%, 1.211E-12, 6.6%, 1.078E+00, 3.7%, 9.048E-11, 1.2%, 1.025E+00, 0.7%, 7.368E-09, 0.4%, 1.178E+00, 0.3%, 1.211E-12, 6.6%, 1.078E+00, 3.7%
296, 9.459E-11, 1.2%, 9.756E-01, 0.7%, 7.418E-09, 0.4%, 1.165E+00, 0.3%, 1.300E-12, 7.2%, 1.098E+00, 3.8%, 8.944E-11, 1.2%, 1.022E+00, 0.7%, 7.294E-09, 0.4%, 1.179E+00, 0.3%, 1.300E-12, 7.2%, 1.098E+00, 3.8%
297, 9.273E-11, 1.1%, 9.712E-01, 0.7%, 7.357E-09, 0.4%, 1.164E+00, 0.3%, 1.452E-12, 9.0%, 1.036E+00, 5.3%, 8.773E-11, 1.1%, 1.018E+00, 0.7%, 7.234E-09, 0.4%, 1.179E+00, 0.3%, 1.452E-12, 9.0%, 1.036E+00, 5.3%
298, 9.240E-11, 1.2%, 9.874E-01, 0.7%, 7.295E-09, 0.4%, 1.164E+00, 0.3%, 1.519E-12, 8.5%, 1.130E+00, 5.3%, 8.723E-11, 1.2%, 1.036E+00, 0.8%, 7.173E-09, 0.4%, 1.179E+00, 0.3%, 1.519E-12, 8.5%, 1.130E+00, 5.3%
299, 9.253E-11, 1.2%, 9.986E-01, 0.8%, 7.220E-09, 0.4%, 1.166E+00, 0.3%, 1.596E-12, 10.9%, 1.137E+00, 6.2%, 8.730E-11, 1.2%, 1.048E+00, 0.8%, 7.098E-09, 0.4%, 1.180E+00, 0.3%, 1.596E-12, 10.9%, 1.137E+00, 6.2%
300, 9.312E-11, 1.2%, 9.892E-01, 0.8%, 7.160E-09, 0.4%, 1.165E+00, 0.3%, 1.449E-12, 10.0%, 1.116E+00, 6.0%, 8.805E-11, 1.2%, 1.037E+00, 0.8%, 7.038E-09, 0.4%, 1.180E+00, 0.3%, 1.449E-12, 10.0%, 1.116E+00, 6.0%
301, 9.089E-11, 1.2%, 9.979E-01, 0.8%, 7.094E-09, 0.4%, 1.165E+00, 0.3%, 1.263E-12, 7.2%, 1.032E+00, 4.0%, 8.562E-11, 1.2%, 1.049E+00, 0.8%, 6.973E-09, 0.4%, 1.180E+00, 0.3%, 1.263E-12, 7.2%, 1.032E+00, 4.0%
302, 9.088E-11, 1.3%, 9.900E-01, 0.7%, 7.025E-09, 0.4%, 1.166E+00, 0.3%, 1.198E-12, 6.3%, 1.111E+00, 3.3%, 8.569E-11, 1.3%, 1.039E+00, 0.7%, 6.905E-09, 0.4%, 1.181E+00, 0.3%, 1.198E-12, 6.3%, 1.111E+00, 3.3%
303, 8.979E-11, 1.2%, 9.874E-01, 0.7%, 6.950E-09, 0.4%, 1.167E+00, 0.3%, 1.320E-12, 9.3%, 1.110E+00, 5.2%, 8.469E-11, 1.2%, 1.036E+00, 0.7%, 6.829E-09, 0.4%, 1.183E+00, 0.3%, 1.320E-12, 9.3%, 1.110E+00, 5.2%
304, 9.094E-11, 1.3%, 9.784E-01, 0.7%, 6.883E-09, 0.4%, 1.167E+00, 0.3%, 1.344E-12, 10.2%, 1.143E+00, 4.9%, 8.586E-11, 1.3%, 1.027E+00, 0.7%, 6.762E-09, 0.4%, 1.183E+00, 0.3%, 1.344E-12, 10.2%, 1.143E+00, 4.9%
305, 8.884E-11, 1.3%, 9.761E-01, 0.7%, 6.817E-09, 0.4%, 1.168E+00, 0.3%, 1.419E-12, 10.1%, 1.050E+00, 4.8%, 8.362E-11, 1.3%, 1.026E+00, 0.7%, 6.699E-09, 0.4%, 1.183E+00, 0.3%, 1.419E-12, 10.1%, 1.050E+00, 4.8%
306, 8.600E-11, 1.2%, 9.725E-01, 0.7%, 6.745E-09, 0.4%, 1.170E+00, 0.3%, 1.352E-12, 9.4%, 1.002E+00, 3.7%, 8.126E-11, 1.2%, 1.020E+00, 0.7%, 6.628E-09, 0.4%, 1.185E+00, 0.3%, 1.352E-12, 9.4%, 1.002E+00, 3.7%
307, 8.550E-11, 1.2%, 9.709E-01, 0.7%, 6.675E-09, 0.4%, 1.171E+00, 0.3%, 1.209E-12, 6.6%, 9.786E-01, 3.6%, 8.065E-11, 1.2%, 1.019E+00, 0.7%, 6.559E-09, 0.4%, 1.187E+00, 0.3%, 1.209E-12, 6.6%, 9.787E-01, 3.6%
308, 8.475E-11, 1.3%, 9.820E-01, 0.7%, 6.624E-09, 0.4%, 1.170E+00, 0.3%, 1.170E-12, 7.8%, 1.018E+00, 3.3%, 7.986E-11, 1.2%, 1.032E+00, 0.7%, 6.508E-09, 0.4%, 1.185E+00, 0.3%, 1.170E-12, 7.8%, 1.018E+00, 3.3%
309, 8.342E-11, 1.2%, 9.875E-01, 0.7%, 6.571E-09, 0.4%, 1.169E+00, 0.3%, 1.053E-12, 5.1%, 1.061E+00, 1.8%, 7.874E-11, 1.2%, 1.036E+00, 0.8%, 6.456E-09, 0.4%, 1.184E+00, 0.3%, 1.053E-12, 5.1%, 1.061E+00, 1.8%
310, 8.402E-11, 1.3%, 9.895E-01, 0.8%, 6.497E-09, 0.4%, 1.171E+00, 0.3%, 1.150E-12, 7.6%, 1.053E+00, 5.0%, 7.938E-11, 1.3%, 1.038E+00, 0.8%, 6.385E-09, 0.4%, 1.186E+00, 0.3%, 1.150E-12, 7.6%, 1.053E+00, 5.0%
311, 8.263E-11, 1.2%, 9.909E-01, 0.8%, 6.434E-09, 0.4%, 1.172E+00, 0.3%, 1.151E-12, 6.8%, 1.095E+00, 4.7%, 7.799E-11, 1.2%, 1.040E+00, 0.8%, 6.321E-09, 0.4%, 1.187E+00, 0.3%, 1.151E-12, 6.8%, 1.095E+00, 4.7%
312, 8.292E-11, 1.3%, 9.803E-01, 0.8%, 6.357E-09, 0.4%, 1.175E+00, 0.3%, 1.256E-12, 9.3%, 1.049E+00, 5.0%, 7.819E-11, 1.2%, 1.029E+00, 0.8%, 6.244E-09, 0.4%, 1.190E+00, 0.3%, 1.256E-12, 9.3%, 1.049E+00, 5.0%
313, 8.284E-11, 1.3%, 9.855E-01, 0.8%, 6.291E-09, 0.4%, 1.176E+00, 0.3%, 1.208E-12, 8.2%, 1.053E+00, 4.9%, 7.805E-11, 1.3%, 1.035E+00, 0.8%, 6.179E-09, 0.4%, 1.192E+00, 0.3%, 1.208E-12, 8.2%, 1.053E+00, 4.9%
314, 8.184E-11, 1.3%, 9.965E-01, 0.9%, 6.228E-09, 0.4%, 1.177E+00, 0.3%, 1.140E-12, 7.8%, 1.050E+00, 4.2%, 7.715E-11, 1.3%, 1.047E+00, 0.9%, 6.118E-09, 0.4%, 1.193E+00, 0.3%, 1.140E-12, 7.8%, 1.050E+00, 4.2%
315, 8.001E-11, 1.2%, 9.851E-01, 0.8%, 6.166E-09, 0.4%, 1.178E+00, 0.3%, 1.231E-12, 9.8%, 1.076E+00, 6.5%, 7.538E-11, 1.2%, 1.035E+00, 0.8%, 6.058E-09, 0.4%, 1.194E+00, 0.3%, 1.231E-12, 9.8%, 1.076E+00, 6.5%
316, 7.873E-11, 1.3%, 9.997E-01, 0.8%, 6.085E-09, 0.4%, 1.182E+00, 0.3%, 1.157E-12, 10.1%, 1.216E+00, 7.9%, 7.432E-11, 1.3%, 1.049E+00, 0.9%, 5.978E-09, 0.4%, 1.198E+00, 0.3%, 1.157E-12, 10.1%, 1.217E+00, 7.9%
